A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1
85657,T6aas,,ZK001,,,,,,,,,,,,3111112,,,,
7062890518,3252006235,2266569582,3083612399,3980784266,2774375350,1976325044,6731707516,563845590,8539659673,7775858125,2849680427,8463224590,4646505080,865097630,6482332396,8755542461,3966417027,587927585,6998466080
8385300201,7287253110,2478395382,4922530625,5102872247,1404033689,8498955847,2537490615,2953089641,501304809,1590575796,419723959,7298650950,8953309303,3814113354,5789709058,3232483256,129519419,1481740045,5295645868
7135533509,3978147422,,,,,,,,,,,,,,7612710356,8221045135,2021971708,5211211143,1176478803
3517300241,7201850925,5618458141,5550991504,111687762,3895851649,7209964118,7038733441,8332789912,8893061611,1969635278,6420556811,6137738962,3797743249,3858422487,61208255,3372049881,3186307736,5214951701,5283868357
8945726872,729313531,,,,,,,,,,7438612031,4962471119,950292181,3371713454,8972308015,748470564,4014050365,5914112662,7175784103
4635515011,1549408487,6376901444,4020529135,5287990146,3333994898,911096584,4963300481,8998665959,2579842272,5628829605,3898763731,6711996298,9066077668,5405943178,8647957240,7429882412,7918318788,5944311258,541582234
,,5058723503,3664511909,2802895766,5532619357,3812229924,6884477799,1650299829,5727322554,834432851,6477288375,3249920832,,,,2601735175,2632507625,7663869592,4693801124
,,2608215501,,,2589105066,6873071186,3528704736,2856344374,4063687416,8359790433,5349208681,8770810604,4443331766,3868989139,3490397823,7475557064,1256065690,3719450033,2433818406
,,,,7100256751,4206864473,6092600722,6126804570,8624206796,3215352982,4933239667,1634049525,9074893958,3446319840,3957692511,4066600894,3154251956,5261369450,3134665009,8516203611
8189483494,3825287683,6600570140,2269466404,6969185871,7497310909,3430443178,2513783149,3448741721,536698469,1521162583,349322084,6255214081,2668102797,275969769,6360472585,296955184,5435831878,383472027,1317210778
7451481020,1302682022,5751568576,6316830147,7757593191,238860513,7280941687,7810780059,4228956695,6134223556,2982366697,7566501597,2030689015,6679645154,3519951844,5040970576,203998450,7863766487,7748426944,4790845880
1942913454,781279028,6881501985,1447403869,2496580757,5158160530,5250115923,2365842853,1713856493,7564250471,,3256680424,7800973843,4600338696,531591437,2760391639,7053985281,7060885883,8170514732,7242530988
1868096670,152317671,8907968903,2132107604,3975178702,7624098443,1712661413,3669891138,8393997360,8657385044,466300621,3823794636,2086438826,3341904908,1632882115,1270553209,1558178050,345822184,2516015802,3922858559
488606016,3874360466,5765768330,814377726,8344429606,5213461454,6504532169,6398937937,6013234431,457467307,6207022228,1100339786,1969805479,3521480015,4979986338,8027696098,2937915598,3447039669,7683836837,194114390
4634393378,4704697156,5887122628,6535115648,1404893804,4453551438,1687662820,4928169304,969363411,6186649753,4603658179,1341285320,4978659740,164701630,,,,,,
622570595,8703366341,6667164517,146528912,4456235389,6117063556,7665113043,6112126899,7426047672,8085110886,5994160669,131206328,3076020043,8879025361,,,,,,
,,,,,,,,8520358249,371579111,660890990,2281291560,4818304304,5088779564,6571237427,965960116,6050042092,5198792089,471768761,5209892521
6055544057,644924678,1557160756,4350008822,2691876212,4091885081,2943962684,8091983191,7614862726,7819922858,5821061737,7761835208,8342528,7523408861,6709198762,6587215738,4848734758,2049376254,258436542,6565959465
7036489598,4145651198,7716189857,8261084261,2087831766,1675356166,5012500799,2472681821,8152443018,295523245,112889067,542715977,7372574765,3864690197,7057367491,1762788499,6461265987,308633274,6188494386,7616774494
2307841868,5891975897,4312751658,8235863627,2198896891,6377905185,1908223043,3857237102,1727564839,5561196475,683794645,6923443166,8175443530,1044575216,5167228664,3820866467,871193868,366704267,3652487452,3230207535
8508035678,1486845313,,,,,,,,,,,,3682744615,7918585762,2068239761,1717748574,6809162232,3022562271,4904037644
1714319249,443851277,1223812124,4257272847,3585111015,2163632725,6202385092,1896449433,8860125042,3422439785,5682119857,7847940060,379011406,4571993510,5589699263,5347417815,4794776702,2211240900,8545658354,6163106906
7719200366,8543562600,8692367199,1085334147,577125171,4826938820,7917519750,2930912795,3303414513,4157883312,6355787070,4487115321,8821308662,4425247186,307977213,5934981599,7555621784,4984466084,8598919096,6169345660
5789133247,4206396520,3751213163,2308648307,1273176391,3119256803,1748350988,3422784257,6095468374,8318457773,4301921843,5872710063,1638639882,2906819776,3765698814,5582607364,6221974270,7218598841,4804678030,240931226
1560424346,3877092664,2315886228,8778350782,6442127243,8047694060,5652334094,3006475239,3268459036,6368205063,3190649915,7863638086,8958566454,2117171516,4935929075,8577861550,2995641485,5398798277,5071152079,3404253812
8977520621,3913271335,6790042147,861068116,6265024911,978759201,95930625,8688335105,7204686985,3355586367,726456114,8180019742,6091340476,4895219134,1814093292,2690663748,788241792,5906539430,4247133373,4076371182
5832456714,,,,,,,,,,,,,3696021008,8883895901,3005093897,7500723252,3865715764,7710386841,7581550922
838643346,,,,,,,,,,,,,376737547,7646798443,4655715177,924342027,861246919,5452626773,4055138865
5335869941,,,,,,,,,,,,,170077725,409338702,8347172721,3835742797,177077978,4029604530,2479411639
366910085,,,,,,,,,,,,,6104969650,1599413964,7699352426,1904134938,4026411718,8726293942,5563773329
7862660527,,,,,,,,,,,,,,,,,,,1856537073
3823563122,,,,,,,,,,,,,,,,,,,556181569
6638070398,,,,,,,,,,,,,5508452318,414098697,4439711945,5646682263,6696949536,6645006523,8517573938
4873211879,,,,,,,,,,,,,7184448599,7361314111,3563231008,3421736224,6583166660,7908835056,6752066308
462054011,,,,,,,,,,,,,868128843,7839816239,1729022171,1917501607,5681579327,9003395701,2658519509
6239701649,,,,,,,,,,,,,1325548801,15038811,4574619968,1000934108,,,
7440629422,,,,,,,,,,,,,7985540501,6648623486,5972237133,5520367691,8124492750,2229311607,609050410
81704219,,,,,,,,,,,,,4595597601,8861436650,1657934312,7778439011,6243512809,2317762457,1023313454
3745152710,,,,,,,,,,,,,,,,,,,
9074000268,,,,,,,,,,,,,,,,,,,
5638532888,6022142688,5681577889,4478255219,7015499074,5936699123,5565447277,8126463589,8288533686,2583552566,5835854975,5337192731,8921063794,,,,,,,
1879350614,879558312,6818138402,3020420312,2167042890,2247320351,5289548010,4189116620,5872400001,7456622184,3058522275,4997705229,3890557954,,,,,,,
6896880575,4007115576,6658283759,649345127,4672849857,8316336383,189366016,1747333685,7321432826,440918391,8594933273,8718893776,845671550,,,,,,,
7178209024,4088741619,4111658226,6594925836,2016264083,3984900843,5905349749,2755454939,5442296862,1966257019,8317274497,5632451778,7908274802,1808727144,5867286963,1505731652,4562815309,6352809519,5935707353,7357714552
7826746535,3517003616,5113504797,,,,,4271343984,5816778069,6329311166,8312007484,8036837645,2156970054,1821571180,308926416,1281277044,8591802338,7373734121,1034253977,8007279943
4061598032,1553072555,8526848885,5866671709,1868635426,5525269534,3538500196,37533024,1174481282,2716280779,2136983089,8934287231,1107475913,8257683214,6299459143,1191019673,8727298480,3868026004,6514561385,3233049957
3658611305,2634968555,7722045494,4519771318,2331125905,2386452835,7602095879,7449150977,3694815852,6948723171,5989896973,8619853581,6026998384,4985018080,5412711579,3941117510,6720231141,949302988,232678431,889183612
1161785608,3643618330,8373031859,5999057408,5602341215,6924275896,4422598891,1301511585,,,,,,,,4032857653,4245645371,8414480808,2265307390,3055542854
791365936,792320098,5482381281,3331744280,8922480169,682069540,5050538412,2288187636,2570646397,4059667024,5521139064,8708839634,8399426999,2429062825,5343246046,8069371232,2353769697,8063120414,2039994001,4714572177
895269165,4413706030,8841514175,4744484145,7592458892,7362243516,512036327,510351111,6398521385,4948822440,2967720376,6979307441,3502493167,4403560006,3665688538,1030534217,1449687036,2893532823,3941737567,8625071082
3695525893,382824714,1968501303,4139707283,8216557613,1105120471,4585398997,5251394611,5474435732,7433488079,6968425620,1600040581,7187183607,732003672,5358918143,2025020204,6993970836,5405744232,4943127109,6637178583
3234415966,1872158030,8553986601,4067684624,2931735431,5922975304,1925395148,6706817356,8165462080,2269108848,7644701788,2154498744,1840189991,2077333947,8523197585,5068613961,6937478954,3191736842,1773269881,5105921757
1340217067,8316805363,7093179289,569794753,7450536677,1251011997,8474201824,5789820719,4356264997,8158982245,2563075959,6252522470,588973452,2640127233,3254317899,414781566,7082389779,802691264,1741486860,4071249429
7697202708,7789903946,8529078081,3056912,400385849,2833120604,4211187488,7505890290,283140455,3275211347,7943308722,3944751922,,,,,,,,6857758189
398020541,5389613101,837734079,7828348948,7883812570,5298861768,1008696855,,,,,2327379128,1909300593,531183545,687357849,8807355873,5222279020,7296566765,2806019417,5434082315
7050218211,233227176,7668248096,6981358378,1318444555,2302328648,2392106585,4195023333,4780378144,8271047713,8447638542,347471751,6600638795,5486053190,3028676943,2349375500,8213830692,3985421963,6045205949,1707180604
969085512,1114568451,8027474651,7649631164,2444463982,7202343901,9049460462,8395350964,1962590050,4042941559,8636400430,7309072748,1402124051,8297090712,2547268591,755383366,3148736067,6036113979,4473480265,7718056194
8383640151,6703036713,8830748166,5773100654,6365320313,618371611,1236645976,99425448,1766068870,4613842641,8638242804,1640158232,90807756,5634633176,5204983294,7281347963,8230497910,5036287941,5356753029,7859324451
7038451604,3150200153,2121090189,6231332750,4709146989,5197111524,2967605235,7058876801,7640824245,261806661,3837026872,5069965670,1191586474,6542032335,6328032167,438534818,6208880333,8717980693,4150113564,6203058649
,,12205242,1785650918,7653781773,800591759,1851050277,,,2956394941,610814820,6618065958,,,6754188898,7931326854,3126449998,6426106280,6662724135,8283994193
7692686741,1562887477,120503876,7438776358,6490251506,6655385528,5204158795,855222236,5867684661,6454115384,7399756135,2717780438,8189117251,7271071341,3385720843,8004924310,1971826513,1905831006,7363204763,1390848622
3189714334,3889804852,4094197974,4279280952,5178659578,4940671857,6553365896,8360732320,6663658656,5622151893,3741353607,7771248576,4029857202,8066941315,6397036074,2684317343,9004452074,7334535324,2389457226,7975061096
6862992322,8047890802,6666214071,8206008699,6072981470,1219437385,1533422592,4920045127,6148152283,366063955,534311510,2125897418,7884036985,8741863490,2017803379,4453912921,2605270305,5081369387,5961842036,8294884939
319134325,876087858,3495135579,8617930495,7563679545,,7773311756,1624584412,2487161969,242779583,6089012921,4581061612,4988594813,640700868,3407311722,6078488677,5287472161,5378380790,7659281190,531377442
,8094426048,1490692440,1867269619,7080136551,1642646141,109870998,6245492383,3638429975,4408127188,8688743384,8234781898,3345113234,3361141096,724310843,8293100241,2832654487,5651277524,7139011247,599222658
4803041537,4239652549,1417020280,6826611611,5181633928,5406726292,2929051464,6821655628,3037132519,2414513731,4622888690,2392012826,7236033511,7810232011,7475015352,24676519,998817194,2411450412,3346698887,5756230587
606483688,3477329549,4518272572,640140930,5323745396,86485998,8300285907,7147148750,3624114297,2426707660,2652241552,3093996257,3728478328,3586949919,2140790318,1375551146,5326990844,1766195745,1599707776,1826481800
5080177409,8090203039,6237621459,2453184880,5762087510,885826347,843731916,2829893570,3905296620,4679799491,7797290537,7608080266,2331531704,8549827470,7787439652,7113379427,2700828687,2783863269,8252798424,531139323
6340081090,141411200,5342376789,8345430181,4444731775,8190094542,,,,4560454246,4383597490,4070413666,6878763274,6777647547,645322719,3536399661,148538485,7103903553,8348071616,41142176
